id,member_id,loan_amnt,funded_amnt,funded_amnt_inv,term,int_rate,installment,grade,sub_grade,emp_title,emp_length,home_ownership,annual_inc,verification_status,issue_d,loan_status,pymnt_plan,url,desc,purpose,title,zip_code,addr_state,dti,delinq_2yrs,earliest_cr_line,inq_last_6mths,mths_since_last_delinq,mths_since_last_record,open_acc,pub_rec,revol_bal,revol_util,total_acc,initial_list_status,out_prncp,out_prncp_inv,total_pymnt,total_pymnt_inv,total_rec_prncp,total_rec_int,total_rec_late_fee,recoveries,collection_recovery_fee,last_pymnt_d,last_pymnt_amnt,next_pymnt_d,last_credit_pull_d,collections_12_mths_ex_med,mths_since_last_major_derog,policy_code,application_type,annual_inc_joint,dti_joint,verification_status_joint,acc_now_delinq,tot_coll_amt,tot_cur_bal,open_acc_6m,open_il_6m,open_il_12m,open_il_24m,mths_since_rcnt_il,total_bal_il,il_util,open_rv_12m,open_rv_24m,max_bal_bc,all_util,total_rev_hi_lim,inq_fi,total_cu_tl,inq_last_12m,target_bad
3243099,7160920,5000.0,5000.0,4975.0, 36 months,10.65,162.87,B,B2,REDACTED,10+ years,RENT,24000.0,Verified,Dec-2011,Fully Paid,n,,,credit_card,Loan Application,86xxx,AZ,27.65,0.0,Jan-1985,1.0,,,3.0,0.0,13648.0,83.7,9.0,f,0.0,0.0,5861.07141425,5831.78,5000.0,861.07,0.0,0.0,0.0,Jan-2015,171.62,,Jan-2016,0.0,,1.0,INDIVIDUAL,,,,0.0,,,,,,,,,,,,,,,,,,0.0
4542741,9113000,2500.0,2500.0,2500.0, 60 months,15.27,59.83,C,C4,REDACTED,< 1 year,RENT,30000.0,Source Verified,Dec-2011,Charged Off,n,,,car,Loan Application,30xxx,GA,1.0,0.0,Apr-1999,5.0,,,3.0,0.0,1687.0,9.4,4.0,f,0.0,0.0,1008.71,1008.71,456.46,435.17,0.0,117.08,1.11,Apr-2013,119.66,,Sep-2013,0.0,,1.0,INDIVIDUAL,,,,0.0,,,,,,,,,,,,,,,,,,1.0
5917062,3075822,2400.0,2400.0,2400.0, 36 months,15.96,84.33,C,C5,REDACTED,10+ years,RENT,12252.0,Not Verified,Dec-2011,Fully Paid,n,,,small_business,Loan Application,60xxx,IL,8.72,0.0,Nov-2001,2.0,,,2.0,0.0,2956.0,98.5,10.0,f,0.0,0.0,3003.65364445,3003.65,2400.0,603.65,0.0,0.0,0.0,Jun-2014,649.91,,Jan-2016,0.0,,1.0,INDIVIDUAL,,,,0.0,,,,,,,,,,,,,,,,,,0.0
8142111,4660797,10000.0,10000.0,10000.0, 36 months,13.49,339.31,C,C1,REDACTED,10+ years,RENT,49200.0,Source Verified,Dec-2011,Fully Paid,n,,,other,Loan Application,91xxx,CA,20.0,0.0,Feb-1996,1.0,35.0,,10.0,0.0,5598.0,21.0,37.0,f,0.0,0.0,12226.3022123,12226.3,10000.0,2209.33,16.97,0.0,0.0,Jan-2015,357.48,,Jan-2015,0.0,,1.0,INDIVIDUAL,,,,0.0,,,,,,,,,,,,,,,,,,0.0
4348360,3890526,3000.0,3000.0,3000.0, 60 months,12.69,67.79,B,B5,REDACTED,1 year,RENT,80000.0,Source Verified,Dec-2011,Current,n,,,other,Loan Application,97xxx,OR,17.94,0.0,Jan-1996,0.0,38.0,,15.0,0.0,27783.0,53.9,38.0,f,766.9,766.9,3242.17,3242.17,2233.1,1009.07,0.0,0.0,0.0,Jan-2016,67.79,Feb-2016,Jan-2016,0.0,,1.0,INDIVIDUAL,,,,0.0,,,,,,,,,,,,,,,,,,
5519631,8763285,5000.0,5000.0,5000.0, 36 months,7.9,156.46,A,A4,REDACTED,3 years,RENT,36000.0,Source Verified,Dec-2011,Fully Paid,n,,,wedding,Loan Application,85xxx,AZ,11.2,0.0,Nov-2004,3.0,,,9.0,0.0,7963.0,28.3,12.0,f,0.0,0.0,5631.37775318,5631.38,5000.0,631.38,0.0,0.0,0.0,Jan-2015,161.03,,Sep-2015,0.0,,1.0,INDIVIDUAL,,,,0.0,,,,,,,,,,,,,,,,,,0.0
6792230,9313458,7000.0,7000.0,7000.0, 60 months,15.96,170.08,C,C5,REDACTED,8 years,RENT,47004.0,Not Verified,Dec-2011,Current,n,,,debt_consolidation,Loan Application,28xxx,NC,23.51,0.0,Jul-2005,1.0,,,7.0,0.0,17726.0,85.6,11.0,f,1889.15,1889.15,8136.84,8136.84,5110.85,3025.99,0.0,0.0,0.0,Jan-2016,170.08,Feb-2016,Jan-2016,0.0,,1.0,INDIVIDUAL,,,,0.0,,,,,,,,,,,,,,,,,,
6324365,1361009,3000.0,3000.0,3000.0, 36 months,18.64,109.43,E,E1,REDACTED,9 years,RENT,48000.0,Source Verified,Dec-2011,Fully Paid,n,,,car,Loan Application,90xxx,CA,5.35,0.0,Jan-2007,2.0,,,4.0,0.0,8221.0,87.5,4.0,f,0.0,0.0,3938.14433376,3938.14,3000.0,938.14,0.0,0.0,0.0,Jan-2015,111.34,,Dec-2014,0.0,,1.0,INDIVIDUAL,,,,0.0,,,,,,,,,,,,,,,,,,0.0
3010469,8490084,5600.0,5600.0,5600.0, 60 months,21.28,152.39,F,F2,REDACTED,4 years,OWN,40000.0,Source Verified,Dec-2011,Charged Off,n,,,small_business,Loan Application,95xxx,CA,5.55,0.0,Apr-2004,2.0,,,11.0,0.0,5210.0,32.6,13.0,f,0.0,0.0,646.02,646.02,162.02,294.94,0.0,189.06,2.09,Apr-2012,152.39,,Aug-2012,0.0,,1.0,INDIVIDUAL,,,,0.0,,,,,,,,,,,,,,,,,,1.0
5583382,5764236,5375.0,5375.0,5350.0, 60 months,12.69,121.45,B,B5,REDACTED,< 1 year,RENT,15000.0,Verified,Dec-2011,Charged Off,n,,,other,Loan Application,77xxx,TX,18.08,0.0,Sep-2004,0.0,,,2.0,0.0,9279.0,36.5,3.0,f,0.0,0.0,1476.19,1469.34,673.48,533.42,0.0,269.29,2.52,Nov-2012,121.45,,Mar-2013,0.0,,1.0,INDIVIDUAL,,,,0.0,,,,,,,,,,,,,,,,,,1.0
